leverantör,year,belopp
2SECURE SVERIGE AB,2019,352008.12
3 V HANDIKAPPIDROTTSFÖRENING,2016,6728.0
3 V HANDIKAPPIDROTTSFÖRENING,2017,6000.0
3 V HANDIKAPPIDROTTSFÖRENING,2018,1000.0
3 V HANDIKAPPIDROTTSFÖRENING,2019,2660.0
3-DIMENSIONELL FUNCTION AB,2016,6020.0
3-DIMENSIONELL FUNCTION AB,2017,12040.0
3-STADS AKUSTIK AB,2018,32875.0
30 DAGAR NETTO CERTIFIERING I SVERIGE AB,2016,6964.04
313 FÖRSTA LÅNGGATAN FASTIGHETER I GBG HB,2016,10291463.0
313 FÖRSTA LÅNGGATAN FASTIGHETER I GBG HB,2017,12535833.0
313 FÖRSTA LÅNGGATAN FASTIGHETER I GBG HB,2018,14205597.0
313 FÖRSTA LÅNGGATAN FASTIGHETER I GBG HB,2019,7344253.0
33 CONNECT CHURCH,2018,185646.0
3470 BRF FISKEBÄCKS HAMN,2016,1900.0
3470 BRF FISKEBÄCKS HAMN,2017,1230.0
3470 BRF FISKEBÄCKS HAMN,2018,3278.0
36 FENESTRA BILLDAL SKOLA,2019,40790.0
36FYREVIKENS FÖRSKOLA,2018,68725.0
36FYREVIKENS FÖRSKOLA,2019,269451.0
3D FAMILY PRODUCTION,2019,9573.93
3D FAMILY USA LTD,2018,83726.8
3DIGS - CAROLINA ASK,2016,2940.0
3DVERKSTAN NORDIC AB (FB),2019,70859.25
3E DESIGN AB,2016,37855.25
3E DESIGN AB,2017,1412.75
3E DESIGN AB,2018,4884.75
3EXTER,2016,1492.76
3EXTER,2017,1555.1799999999998
3EXTER,2018,2190.78
3EXTER,2019,3475.92
3H BLOMMOR,2016,316.0
3H BLOMMOR,2017,2084.8
3H BLOMMOR,2018,9549.6
3H BLOMMOR,2019,8889.599999999999
3POMPROD,2017,44379.649999999994
4 ALL BABIES AB (FB),2016,7742.5
4 ANDI AB,2016,18611.0
4 ANDI AB,2019,445878.0
4 FRUKT KOMMANDITBOLAG,2016,4914.32
4 FRUKT KOMMANDITBOLAG,2017,7806.280000000001
4 FRUKT KOMMANDITBOLAG,2018,1401.2800000000002
4 LIONS MUSIK,2016,4540.0
4-GOTT,2016,19638.370000000003
4-GOTT,2017,25242.849999999995
4-GOTT,2018,21390.16999999999
4-GOTT,2019,9282.129999999996
4002 SEGERSTADS DAGHEM,2017,45912.0
4002 SEGERSTADS DAGHEM,2018,21250.0
4115192 HOLLSTEN AB,2016,733.75
42 TELECOM AB,2016,7750.099999999999
42 TELECOM AB,2017,9724.0
42 TELECOM AB,2018,9846.800000000001
42 TELECOM AB,2019,13903.999999999998
4225111 AMER ZANGANA AB,2016,4200.0
424 PRODUCTIONS AB,2019,8000.0
4261356 HOFFMAN AB,2017,30000.0
4261356 HOFFMAN AB,2018,30000.0
4261356 HOFFMAN AB,2019,2500.0
47:ANS SALLADER & DELIKATESSER,2016,70773.37
47:ANS SALLADER & DELIKATESSER,2017,68984.15000000001
47:ANS SALLADER & DELIKATESSER,2018,45907.1
47:ANS SALLADER & DELIKATESSER,2019,21672.299999999996
4C STRATEGIES AB,2016,35892.0
4DOGS IMPORT SWEDEN AB,2017,2643.2
4S LEDNINGSNÄT,2016,100000.0
4S LEDNINGSNÄT,2017,100000.0
4S LEDNINGSNÄT,2018,100000.0
4S LEDNINGSNÄT,2019,100000.0
