leverantör,year,belopp
CARBE MUSIK,2016,2500.0
CARBE MUSIK,2017,4000.0
CARBE MUSIK AB,2017,4000.0
CARBE MUSIK AB,2018,19300.0
CARBE MUSIK AB,2019,39845.0
CARCO,2019,11573.43
CARD OF JOY AB,2019,4550.0
CARDCOIN A/S,2019,1098200.0
CARDIO LIFE MP AB,2016,17424.07
CARDIUS AB,2016,5836.5
CARDIUS AB,2017,12624.5
CARDIUS AB,2018,5483.25
CARDIUS AB,2019,4534.0
CARDSUPPLY SWEDEN AB,2017,795.25
CARE ALLOMSORG AB,2016,20533.0
CARE ALLOMSORG AB,2017,46172.0
CARE OF CRM AB,2019,75000.0
CARE OF SWEDEN AB,2016,1494498.8499999996
CARE OF SWEDEN AB,2017,1888281.71
CARE OF SWEDEN AB,2018,1934434.2000000002
CARE OF SWEDEN AB,2019,2019152.37
CARE VÅRD & BEHANDLING AB,2016,3412605.0
CARE VÅRD & BEHANDLING AB,2017,9066115.6
CARE VÅRD & BEHANDLING AB,2018,24085428.0
CARE VÅRD & BEHANDLING AB,2019,21699142.0
CARE4YOU I ULRICEHAMN AB,2016,8145.62
CARE4YOU I ULRICEHAMN AB,2019,18363.25
CARECO INREDNINGAR AB,2017,6500.0
CAREER GROUP SVERIGE AB,2016,7500.0
CAREER GROUP SVERIGE AB,2017,9500.0
CAREER GROUP SVERIGE AB,2018,9500.0
CAREER GROUP SVERIGE AB,2019,177000.0
CAREERBUIDER NORDIC AB,2016,10000.0
CAREERBUIDER NORDIC AB,2017,13500.0
CAREERBUIDER NORDIC AB,2018,4000.0
CARELLI ASSISTANS AB (FB),2017,47579.0
CARELLI ASSISTANS AB (FB),2018,492878.0
CARELLI ASSISTANS AB (FB),2019,48608.0
CAREMORE MIGRATION AB,2016,11713403.0
CAREMORE MIGRATION AB,2017,2716207.0
CAREMORE MIGRATION AB,2018,120700.0
CAREONDEMAND SOCIALA TJÄNSTER AB,2016,4368533.530000001
CAREONDEMAND SOCIALA TJÄNSTER AB,2017,6801491.66
CAREONDEMAND SOCIALA TJÄNSTER AB,2018,3168437.6600000006
CAREVA SYSTEMS AB,2018,1180.0
CAREXPERIENCE AB,2016,22395.49
CAREXPERIENCE AB,2017,37847.35
CAREXPERIENCE AB,2019,37847.35
CARGLASS SWEDEN AB,2016,6691.25
CARGLASS SWEDEN AB,2019,1416.06
CARGO OIL AB,2016,11870.5
CARGO OIL AB,2017,17090.5
CARGO OIL AB,2018,15933.75
CARGO OIL AB (FB),2019,20708.0
CARGOBIKE OF SWEDEN (FB),2019,21392.0
CARICON ELECTRIC (FB),2017,1875.0
CARIN HJULSTRÖM AB,2016,6108.0
CARIN HJULSTRÖM AB,2017,7665.0
CARIN HJULSTRÖM AB,2019,8288.0
CARIN MANNHEIMER PROD AB,2016,6000.0
CARINA CERAMICS,2017,5904.4
CARINA CERAMICS,2019,600.0
CARINA FAST,2017,9810.0
CARINA FIHN,2018,10000.0
CARINA FIHN,2019,37000.0
CARINA ISRAELSON,2018,0.0
CARINA ISRAELSON,2019,1050.0
CARINA LUND,2019,40325.25
CARINA MARKLUND,2017,10000.0
CARINA MOEN,2017,29750.0
CARINA MOEN,2018,15000.0
CARINAS KÖK AB,2017,1600.0
CARINEX,2016,19523.0
CARINEX,2017,31232.0
CARINEX,2018,22967.0
CARINEX,2019,23861.0
CARITA JONSSON,2016,16800.0
CARITA JONSSON,2017,16000.0
CARITA JONSSON,2019,9980.0
CARITAGÅRDEN AB,2017,1275500.0
CARITAGÅRDEN AB,2018,4034171.0
CARITAGÅRDEN AB,2019,2267840.0
CARITAS/FC KOMETEN,2016,221958.0
CARITAS/FC KOMETEN,2017,878722.0
CARITAS/FC KOMETEN,2018,566442.0
CARITAS/FC KOMETEN,2019,405350.0
CARL ABRAHAMSSON,2017,2000.0
CARL ANDER,2016,80000.0
CARL ANDER,2019,43200.0
CARL BRO AB / GRONTMIJ,2016,119224.75
CARL BÄCKERSTEN MUSIK,2017,4000.0
CARL JOHANS PASTORAT,2018,64500.0
CARL JOHANS PASTORAT,2019,374240.0
CARL KARLSSON,2019,23050.0
CARL M LUNDH AB,2016,2200.0
CARL M LUNDH AB,2018,15968.0
CARL MICHAEL VON HAUSSWOLFF,2017,18226.0
CARL PONTUS HJORTHÉN,2017,96210.0
CARL PONTUS HJORTHÉN,2018,51150.0
CARL PONTUS HJORTHÉN,2019,25160.0
CARL SUNDEMO AB,2016,79200.09
CARL SUNDEMO AB,2017,79200.0
CARL SUNDEMO AB,2018,91800.0
CARL SUNDEMO AB,2019,91800.0
CARL TOFTEFELT,2016,9000.0
CARL ZEISS AB,2016,2802.5
CARL ZEISS AB,2017,18921.559999999998
CARL ZEISS AB,2018,1828.0
CARL-JOHANS FÖRSAMLING,2016,7910.0
CARLANDER & CO AB,2019,3664.87
CARLANDERSKA SJUKHUSET,2016,3750.0
CARLANDERSKA SJUKHUSET,2018,238919.25
CARLANDERSKA SJUKHUSET,2019,1100.0
CARLBERGS AB,2016,2864088.2000000007
CARLBERGS AB,2017,726266.8500000002
CARLBERGS AB,2018,2588000.0
CARLBERGS AB,2019,1065766.5
CARLDAHLBERG FASTIG. AB,2016,316859.54000000004
CARLDAHLBERG FASTIG. AB,2017,256626.82
CARLDAHLBERG FASTIG. AB,2018,260899.72
CARLDAHLBERG FASTIG. AB,2019,265713.17
CARLIS GOLF AB,2018,2000.0
CARLO GAVAZZI AB,2016,11428.0
CARLSON FERNBERG ARKITEKTKONTOR AB,2016,680925.0
CARLSON FERNBERG ARKITEKTKONTOR AB,2017,1193803.99
CARLSON FERNBERG ARKITEKTKONTOR AB,2018,1145876.5
CARLSON FERNBERG ARKITEKTKONTOR AB,2019,423191.55
CARLSSON & CO AB,2017,9554.5
CARLSSON NÖJE AB,2016,17840.0
CARLSSON NÖJE AB,2017,26140.0
CARLSSON NÖJE AB,2018,38292.0
CARLSSON NÖJE AB,2019,9108.75
CARLSTEN SWEDEN AB,2016,104493.0
CARLSTEN SWEDEN AB,2017,145558.75
CARLSTENS FÄSTNING MARSTRAND,2016,25228.0
CARLSTENS FÄSTNING MARSTRAND,2017,33715.520000000004
CARLSTENS FÄSTNING MARSTRAND,2018,54319.58
CARLSTENS FÄSTNING MARSTRAND,2019,20168.15
CARMENTUS AB,2017,18000.0
CARMENTUS AB,2018,31550.5
CAROGABI AB,2019,9540.130000000001
CAROLA LINDBLOM ARTISPRODUKTION,2016,10300.0
CAROLA LINDBLOM ARTISPRODUKTION,2017,7300.0
CAROLA LINDBLOM ARTISPRODUKTION,2018,6300.0
CAROLA LINDBLOM ARTISPRODUKTION,2019,11300.0
CAROLINA - FORM OCH FANTASI,2016,10239.29
CAROLINA - FORM OCH FANTASI,2018,15410.0
CAROLINA - FORM OCH FANTASI,2019,10800.0
CAROLINA FALKHOLT,2016,6000.0
CAROLINA ÖVERLIEN,2016,14044.0
CAROLINE GÄLLERDAL JÄGELL,2017,3600.0
CAROLINE GÄLLERDAL JÄGELL,2018,3600.0
CAROLINE HERNBERGER,2016,41280.0
CAROLINE HERNBERGER,2017,16320.0
CAROLINE HERNBERGER,2018,6720.0
CAROLINE HERNBERGER,2019,20360.0
CAROLINE WENNERGREN AB,2016,23738.0
CAROLINE WENNERGREN AB,2017,73492.0
CAROLINE WENNERGREN AB,2018,35934.0
CAROLINE WENNERGREN AB,2019,26670.0
CAROLINE WIJKS SJUKSKÖTERSEHEM,2016,2500.0
CAROLINE WIJKS SJUKSKÖTERSEHEM,2017,2500.0
CAROLINE WIJKS SJUKSKÖTERSEHEM,2018,23060.0
CAROLINE WIJKS SJUKSKÖTERSEHEM,2019,20240.0
CAROLUSSON & CAROLUSSON AB,2016,84400.0
CAROLUSSON & CAROLUSSON AB,2017,44804.34
CAROLUSSON & CAROLUSSON AB,2018,37800.0
CARPARK AB,2016,353470.65
CARPARK AB,2017,393613.19999999995
CARPARK AB,2018,398312.75
CARPARK AB,2019,501335.26000000007
CARPE LIBRUM HANDELSBOLAG,2016,188.68
CARPLUS TRUST,2017,1975.74
CARRIA FAMILJEHEM AB,2016,1162800.0
CARRIA FAMILJEHEM AB,2017,2959600.0
CARRIA FAMILJEHEM AB,2018,2512200.0
CARRIA FAMILJEHEM AB,2019,1857300.0
CARRIA STÖDBOENDE AB,2018,289545.0
CARRIA STÖDBOENDE AB,2019,856035.0
CARRIER AB,2016,10930.5
CARRIER AB,2017,11116.75
CARROCO AB,2016,30480.0
CARROMIC,2017,7000.0
CARROMIC,2018,7000.0
CARSPECT AB,2016,0.0
CARTELL,2016,8748.75
CARTELL,2017,11218.5
CARTELL,2018,1620.75
CARTELL,2019,992.75
CARTESIA GIS AB,2016,309803.51
CARVALLI CO AB/MATSKAPAREN SVERIGE,2016,69812.45000000001
CARVALLI CO AB/MATSKAPAREN SVERIGE,2017,63455.88
CARVALLI CO AB/MATSKAPAREN SVERIGE,2018,24771.25
CARVALLI CO AB/MATSKAPAREN SVERIGE,2019,11283.08
CASA MONTESSORI FÖRSKOLA,2018,2549582.5
CASA MONTESSORI FÖRSKOLA,2019,636178.0
CASA OMSORG AB,2016,508100.0
CASA OMSORG AB,2017,3630680.0
CASA OMSORG AB,2018,4334150.0
CASA OMSORG AB,2019,3070650.0
CASALL SPORT AB,2017,26908.0
CASALL SPORTS PRODUCTS AB,2016,33925.4
CASALL SPORTS PRODUCTS AB,2017,46945.799999999996
CASALL SPORTS PRODUCTS AB,2018,20953.0
CASALL SPORTS PRODUCTS AB,2019,25789.75
CASEIAB AB,2016,100000.0
CASHCOM I SVERIGE AB,2016,7482.5
CASHCOM I SVERIGE AB,2018,293525.5
CASHCOM I SVERIGE AB,2019,15980.5
CASHPRO SWEDEN (JOHAN PÖYHÖNEN EF) (FB),2017,720.0
CASINO COSMOPOL AB,2016,18707.25
CASINO COSMOPOL AB,2017,11785.5
CASINO COSMOPOL AB,2018,18773.85
CASINO COSMOPOL AB,2019,1125.0
CASPARI APS,2016,14876.89
CASPARSSONS VÅRDHEM,2016,19006695.0
CASPARSSONS VÅRDHEM,2017,16446194.0
CASPARSSONS VÅRDHEM,2018,12706022.0
CASPARSSONS VÅRDHEM,2019,8647386.0
CASSELS MODEHUS AB,2016,37760.0
CASSELS MODEHUS AB,2017,44775.0
CASTANEA BED & BREAKFAST AB,2016,13312.66
CASTELLUM HÖGSBO 20:11 AB,2019,2695890.0
CASTELLUM VÄST AKTIEBOLAG,2016,46617.0
CASTELLUM VÄST AKTIEBOLAG,2017,4395729.0
CASTELLUM VÄST AKTIEBOLAG,2018,4567256.0
CASTELLUM VÄST AKTIEBOLAG,2019,6705228.0
CASTELLUM VÄST HISINGEN AB,2019,49129.0
CAT-KIT.COM APS,2017,457.58
CAT-KIT.COM APS,2018,4264.36
CAT-KIT.COM APS,2019,8726.39
CATALYT AB,2016,4450.5
CATENA STÖD & UTVECKLING,2019,338000.0
CATERMART,2017,2000.0
CATHARINA GOTBY,2017,570.0
CATHARINA GOTBY,2018,1046.44
CATHERINE ROHMAN-FRANSSON,2016,2197.0
CATHRINE BÜLOW (FB),2018,3000.0
CATHYS VOICE,2017,7000.0
CATOBLEPAS FÖRLAG,2017,5624.94
CATOBLEPAS FÖRLAG,2019,3200.0
CATXALOT AB,2017,37455.25
CATXALOT AB,2018,13028.52
CAVERION SVERIGE AB,2016,173833.88999999998
CAVERION SVERIGE AB,2017,1041559.6200000003
CAVERION SVERIGE AB,2018,1683194.7200000002
CAVERION SVERIGE AB,2019,2749522.5299999993
CAVERION SVERIGE AB (FB),2018,381.0
CAVERION SVERIGE AB (FB),2019,485.0
CB AUDIO AND SHOWTEC,2019,3500.0
CB ÅKERI I GÖTEBORG AB,2016,4750.5
CB ÅKERI I GÖTEBORG AB,2017,2624.75
CBA ASBL,2018,3102.73
CBM PRODUKTER AB,2019,14472.8
CBRE/CB RICHARD ELLIS AB,2016,411200.0
CBRE/CB RICHARD ELLIS AB,2017,1305200.0
CBRE/CB RICHARD ELLIS AB,2018,654300.0
CBRE/CB RICHARD ELLIS AB,2019,874200.0
CC HÖGANÄS BYGGKERAMIK AB,2016,2664.69
CC HÖGANÄS BYGGKERAMIK AB,2017,3601.42
CC HÖGANÄS BYGGKERAMIK AB,2018,7922.44
CC HÖGANÄS BYGGKERAMIK AB,2019,4382.900000000001
CC MARK I VÄST AB,2019,11500.0
CCG - CONSULT CHARLOTTE GIMFALK,2019,117953.75
CCS CASTLE SECURITY SWEDEN AB,2016,2704.0
CCS IDEELLA FÖRENING,2016,4620.0
CD HUNDENS HUS GÖTEBORG AB,2016,384.0
CD HUNDENS HUS GÖTEBORG AB,2017,8800.0
CD HUNDENS HUS GÖTEBORG AB,2019,9040.0
CD REPARATÖREN AB,2017,3116.0
CD-ALTERNATIV HB,2016,6000.0
CDC INTI,2017,2000.0
CDON AB (FB),2019,158.4
CDON.AB (FB),2016,31583.999999999996
CDON.AB (FB),2017,12700.46
CDON.AB (FB),2018,5202.400000000001
CDOTS DEVELOPMENT AB,2018,21611.0
CDS CENTRALDAMMSUGARE AB,2019,692.0
CE DANS/CAMILLA EKELÖF,2017,7500.0
CE DANS/CAMILLA EKELÖF,2018,10500.0
CE DANS/CAMILLA EKELÖF,2019,-5.0
CE QU  TRYCKERI - BOKBINDERI AB,2016,1030.0
CE QU  TRYCKERI - BOKBINDERI AB,2017,3955.0
CE QU  TRYCKERI - BOKBINDERI AB,2019,3310.0
CE SPRINKLER AB,2016,7626.25
CE SPRINKLER AB,2017,8049.6
CE SPRINKLER AB,2018,6108.0
"CEAB, MATTIAS BERGSTRÖM",2018,24590.0
CEAK VVS KONSULT AB,2016,2465719.0
CEAK VVS KONSULT AB,2017,1208635.0
CEAK VVS KONSULT AB,2018,1715695.0
CEAK VVS KONSULT AB,2019,1000666.0
CEBA REKLAM,2016,0.0
CEBEX KERAMIKEXPERTERNA AB,2016,208427.41000000003
CEBEX KERAMIKEXPERTERNA AB,2017,216495.41000000006
CEBEX KERAMIKEXPERTERNA AB,2018,325716.55
CEBEX KERAMIKEXPERTERNA AB,2019,236805.67
CEC DESIGN AB,2016,285216.0
CEC DESIGN AB,2017,60000.0
CECILIA CALLERSTEN,2019,27810.0
CECILIA DAHLQVIST,2016,42008.0
CECILIA DAHLQVIST,2017,349280.0
CECILIA DAHLQVIST,2018,12752.0
CECILIA GELIN,2019,246166.0
CECILIA GUSTAVSSON,2019,35000.0
CECILIA NORDSTRAND,2016,4000.0
CECILIA OLSSON,2016,19953.0
CECILIA PETTERSSON,2019,10000.0
CECILIA WARD(FB),2017,2857.14
CECILIE PENNEY,2019,999.0
CEDERLEUFS & SVENHEIMERS BAGERI OCH KONDITORI AB,2016,56234.05000000001
CEDERLEUFS & SVENHEIMERS BAGERI OCH KONDITORI AB,2017,89627.67
CEDERLEUFS & SVENHEIMERS BAGERI OCH KONDITORI AB,2018,104907.99999999999
CEDERLEUFS & SVENHEIMERS BAGERI OCH KONDITORI AB,2019,60373.28
CEDÅS AKUSTIK AB,2018,3800.0
CEDÅS AKUSTIK AB,2019,0.0
CEEQUAL LIMITED,2017,41268.86
CEILING DISTRIBUTION CENTER AB,2018,4395.25
CELAB COMMUNICATIONS AB,2016,73603.39
CELAB COMMUNICATIONS AB,2017,173245.12
CELAB COMMUNICATIONS AB,2018,119136.0
CELAB COMMUNICATIONS AB,2019,111461.85
CELANDER AB,2016,3440269.4599999995
CELANDER AB,2017,1442283.75
CELANDER AB,2018,1253647.25
CELANDER AB,2019,4608125.28
CELEXON SWEDEN AB,2017,1487.2
CELIK SKOMAKERI GÅRDA AB,2018,801.0
CELILIAS FASTIGHETS AB FARNKS CORNER,2017,745.54
CELILIAS FASTIGHETS AB FARNKS CORNER,2018,624.11
CELKO AB ÅSA BLOMMOR OCH TRÄDGÅRD,2017,424.0
CELLBOARD,2019,17621.0
CELLO CAFÉ OCH RESTAURANG AB,2016,9138.8
CELLO CAFÉ OCH RESTAURANG AB,2017,14066.84
CELSICOM AB,2016,1975.25
CELSICOM AB,2017,3641.0
CELSICOM AB,2018,2990.5
CELSICOM AB,2019,2990.5
CEMA MEDICAL AB,2017,334.5
CENTAB SVERIGE AB,2019,6988.0
CENTER FOR ADVANCED STUDIES IN LEADERSHIP,2016,10000.0
CENTER FOR BORGERDIALOG,2019,29558.0
CENTIGO AB,2019,5995.25
CENTRA LIVSLUST,2016,284800.0
CENTRA LIVSLUST,2017,117825.0
CENTRA LIVSLUST,2018,104425.0
CENTRA LIVSLUST,2019,143200.0
CENTRAL BOOKS,2017,6376.82
CENTRAL BOOKS,2018,438.34
CENTRAL BOOKS,2019,456.58
CENTRAL ELTEKNIK AB,2016,22000.0
CENTRAL HOTEL,2019,5628.58
CENTRAL HYGIEN I SVERIGE AB,2019,38885.0
CENTRAL HYGIEN I SVERIGE AB(FB),2019,30356.0
CENTRALANTIKVARIATET,2016,785.0
CENTRALENS RESEBUTIK I KALMAR AB,2016,2710.0
CENTRALENS RESEBUTIK I KALMAR AB,2017,3360.0
CENTRALENS RESEBUTIK I KALMAR AB,2018,2955.25
CENTRALFÖRBUNDET FÖR ALKOHOL- OCH NARKOTIKAUPPLYSNING,2016,522164.0
CENTRALFÖRBUNDET FÖR ALKOHOL- OCH NARKOTIKAUPPLYSNING,2017,984.0
CENTRALFÖRBUNDET FÖR ALKOHOL- OCH NARKOTIKAUPPLYSNING,2018,590518.5
CENTRALFÖRBUNDET FÖR ALKOHOL- OCH NARKOTIKAUPPLYSNING,2019,-3635.0
CENTRALSERVICE I OSBY AB,2019,220.0
CENTRALSHOPPEN SVERIGE,2016,582.0
CENTRALSHOPPEN SVERIGE,2017,2725.0
CENTRALSHOPPEN SVERIGE,2018,1122.0
CENTRE OUTSTANDING LEADERSHIP SC,2019,30624.75
CENTRIA HOSPITALITY GÖTEBORG AB,2018,93129.5
CENTRIA HOSPITALITY GÖTEBORG AB,2019,1085042.75
CENTRIA HOSPITALITY I GÖTEBORG AB,2018,3893897.0
CENTRIA HOSPITALITY I GÖTEBORG AB,2019,998336.0
CENTRIA MANAGEMENT AB,2018,186875.0
CENTRIA MANAGEMENT AB,2019,81825.17
CENTRIC CARE AB,2016,6704105.87
CENTRIC CARE AB,2017,6256847.0
CENTRIC CARE AB,2018,4029506.0700000003
CENTRIC CARE AB,2019,6345488.53
CENTRIC PARTNER NETWORK AB,2018,137604.78999999998
CENTRIC PARTNER NETWORK AB,2019,3616471.65
CENTRIC PROFFESSIONALS AB,2018,999791.09
CENTRIC PROFFESSIONALS AB,2019,6653785.090000003
CENTRINA KVIBERG,2016,29068625.0
CENTRINA KVIBERG,2017,32144945.0
CENTRINA KVIBERG,2018,26401910.0
CENTRINA KVIBERG,2019,2648574.0
CENTRINA LINDHOLMEN,2016,25116046.0
CENTRINA LINDHOLMEN,2017,28935180.0
CENTRINA LINDHOLMEN,2018,34014907.0
CENTRINA LINDHOLMEN,2019,61293327.0
CENTRO DE INTERGRACION CULTURAL,2016,79359.0
CENTRO DE INTERGRACION CULTURAL,2017,86600.0
CENTRO DE INTERGRACION CULTURAL,2018,34500.0
CENTRO DE INTERGRACION CULTURAL,2019,10000.0
CENTRO KAKEL & KLINKER AB,2016,3220.0
CENTRUM AB,2017,3990.0
CENTRUM FÖR ARBETSFÖRMÅGEANALYS AB,2019,308944.0
CENTRUM FÖR FAMILJERÅDGIVNING OCH PSYKOTERAPI,2018,6240.0
CENTRUM FÖR FORTBILDNING,2016,30060.0
CENTRUM FÖR FORTBILDNING,2017,28200.0
CENTRUM FÖR FORTBILDNING,2018,7920.0
CENTRUM FÖR FORTBILDNING,2019,25280.0
CENTRUM FÖR NÄRINGSLIVSHISTORIA / FÖRETAGSHISTORIA,2016,253.77
CENTRUM FÖR NÄRINGSLIVSHISTORIA / FÖRETAGSHISTORIA,2017,253.77
CENTRUM FÖR NÄRINGSLIVSHISTORIA / FÖRETAGSHISTORIA,2018,253.77
CENTRUM FÖR NÄRINGSLIVSHISTORIA / FÖRETAGSHISTORIA,2019,5400.0
CENTRUM FÖR NÄRINGSLIVSHISTORIA AB,2019,300.94
CENTRUMBLOMMOR,2016,640.0
CENTRUMBUTIKEN HB,2019,2870.0
CENVA AB,2016,2320.75
CENVA AB,2017,5036.8
CENVA AB,2019,9428.0
CEOS AB,2018,50.5
CERNER SVERIGE AB,2016,1168.0
CERRO AB,2016,63030.75
CERRO AB,2017,40467.25
CERRO AB,2018,5753.75
CERTEGO AB,2016,1741862.3099999991
CERTEGO AB,2017,1304240.3199999996
CERTEGO AB,2018,2442944.2400000007
CERTEGO AB,2019,1486677.7300000002
CERTEX SVENSKA AB,2016,405927.77999999997
CERTEX SVENSKA AB,2017,336964.6699999999
CERTEX SVENSKA AB,2018,194396.61999999997
CERTEX SVENSKA AB,2019,203462.19999999998
CERVERA,2017,1086.4
CERVERA AB,2016,89753.97999999995
CERVERA AB,2017,106351.03999999992
CERVERA AB,2018,179672.90000000005
CERVERA AB,2019,117850.2099999999
CERVERA AB (FB),2018,479.2
CESOFT AB,2016,8700.0
CESS TRADING AB,2018,2500.0
CET HOLDING AB HALVGREKPLUSTURK,2016,2062.5
CETEK BESIKTNING AB,2017,66982.0
CETEK BESIKTNING AB,2018,51828.12
CETETHERM AB,2019,31806.02
CEVICHE,2016,5946.0
CEVICHE,2017,1639.0
CEVICHE,2018,559.82
CEVICHE,2019,712.53
CF GÅRDA AB,2017,8584.9
CF GÅRDA AB,2018,7500.0
CFÖRETAGET,2016,10935.0
CGA GRAFISK KONSULT AB,2016,7795.25
CGA GRAFISK KONSULT AB,2017,6444.75
CGI,2016,29516847.640000004
CGI,2017,30308514.32
CGI,2018,24081766.39
CGI,2019,20825369.259999998
CGS AUTOMATION AB,2017,7440.0
CHALLENGING LEARNING LTD,2019,2355.95
CHALMERS CORTÉGE COMMITTE,2017,9000.0
CHALMERS PROFESSIONAL EDUCATION AB,2017,19000.0
CHALMERS PROFESSIONAL EDUCATION AB,2018,122350.0
CHALMERS STUDENTBOSTÄDER,2016,457531.0
CHALMERS STUDENTBOSTÄDER,2017,463617.0
CHALMERS STUDENTBOSTÄDER,2018,461726.08999999997
CHALMERS STUDENTBOSTÄDER,2019,4246054.09
CHALMERS STUDENTKÅRS RESTAURANG,2016,305065.14
CHALMERS STUDENTKÅRS RESTAURANG,2017,398174.0
CHALMERS STUDENTKÅRS RESTAURANG,2018,381789.94000000006
CHALMERS STUDENTKÅRS RESTAURANG,2019,2331635.5800000005
CHALMERS STUDENTKÅRS RESTAURANG LIN,2016,1407703.6399999992
CHALMERS STUDENTKÅRS RESTAURANG LIN,2017,1517885.3699999999
CHALMERS STUDENTKÅRS RESTAURANG LIN,2018,2119325.9699999997
CHALMERS STUDENTKÅRS RESTAURANG LIN,2019,12349.09
CHALMERS TEKNISKA HÖGSKOLA AB,2016,6105963.279999999
CHALMERS TEKNISKA HÖGSKOLA AB,2017,3910594.6399999997
CHALMERS TEKNISKA HÖGSKOLA AB,2018,4073510.0
CHALMERS TEKNISKA HÖGSKOLA AB,2019,3176368.7500000005
CHALMERS TEKNOLOGKONSULTER AB,2018,64013.75
CHALMERS TEKNOLOGKONSULTER AB,2019,222487.25
CHALMERS VENTURES AB,2016,5000.0
CHALMERSBALETTEN,2016,2000.0
CHALMERSFASTIGHETER AB,2016,8225764.0
CHALMERSFASTIGHETER AB,2017,9373083.0
CHALMERSFASTIGHETER AB,2018,10296723.25
CHALMERSFASTIGHETER AB,2019,9667931.5
CHALMERSSPEXET BOB,2016,42800.0
CHAMPION MMA & CONDE BJJ IF,2017,4000.0
CHAMPS OF LOGGING AB,2016,10640.0
CHANGELING TRANSLATIONS AB,2019,576.4
CHANGEMAKER AB,2016,445581.0
CHANGEMAKER AB,2017,61212.92
CHANGERS HUB (FB),2019,7308.0
CHAPMANS BLOMMOR,2016,23514.399999999998
CHAPMANS BLOMMOR,2017,2346.3999999999996
CHAPMANS BLOMMOR,2018,1005.6
CHAPMANS BLOMMOR,2019,344.0
CHAPPEL PLACE AB,2016,935.0
CHARAN AB / THE MONSOON,2016,4884.0
CHARAN AB / THE MONSOON,2017,4884.0
CHARAN AB / THE MONSOON,2018,663.42
CHARAN AB / THE MONSOON,2019,864.0
CHARDEN AB,2016,49375.25
CHARDEN AB,2017,46724.75
CHARINA MUSIK & KULTUR,2016,97000.0
CHARINA MUSIK & KULTUR,2017,27000.0
CHARINA MUSIK & KULTUR,2018,27000.0
CHARLI'S PHC,2017,15000.0
CHARLIES BISTRO I GÖTEBORG AB,2019,26562.5
CHARLOTTA BJÖRKLIND PSYKOTERAPI,2018,4556.6
CHARLOTTA GAVELIN PHOTOGRAPHY ILLUSTRATION,2016,34125.0
CHARLOTTA GAVELIN PHOTOGRAPHY ILLUSTRATION,2017,22070.0
CHARLOTTA GAVELIN PHOTOGRAPHY ILLUSTRATION,2019,3135.0
CHARLOTTA VON ZWEIGBERGK,2017,6000.0
CHARLOTTE EDHOLM FAMILJEHEMFOKUS,2016,152921.0
CHARLOTTE EDHOLM FAMILJEHEMFOKUS,2017,43460.5
CHARLOTTE EDHOLM FAMILJEHEMFOKUS,2018,7479.0
CHARLOTTE EDHOLM FAMILJEHEMFOKUS,2019,5800.0
CHARLOTTE LJUNG,2016,32640.0
CHARLOTTE LJUNG,2017,13440.0
CHARLOTTE LJUNG,2018,7200.0
CHARLOTTE OLOFSDOTTER,2017,14498.0
CHARLOTTE OLOFSDOTTER,2018,109269.0
CHARLOTTE OLOFSDOTTER,2019,56499.0
CHARLOTTE SIGNAHL AB,2017,31902.500000000004
CHARLOTTE VON WEISSENBERG FORM,2017,69200.0
CHARLOTTE VON WEISSENBERG FORM,2018,3600.0
CHARLOTTE VON WEISSENBERG FORM,2019,12824.0
CHARLOTTSBORGS CAMPING & VANDRARHEM,2017,4285.71
CHAS VISUAL MANAGEMENT AB,2019,2706453.05
CHATEAU BEIRUT KB,2016,25712.899999999998
CHATEAU BEIRUT KB,2017,32672.88
CHATEAU BEIRUT KB,2018,41797.53
CHATEAU BEIRUT KB,2019,62848.26
CHATTYWEAR LTD,2017,24663.3
CHATTYWEAR LTD,2018,52613.93
CHATTYWEAR LTD,2019,38271.12
CHECK IN  MATKULTUR,2016,5979.0
CHECK IN  MATKULTUR,2017,7130.0
CHECK IN  MATKULTUR,2019,1117.0
CHEF STOCKHOLM AB,2016,49214.16
CHEF STOCKHOLM AB,2017,57206.07999999999
CHEF STOCKHOLM AB,2018,74342.54000000001
CHEF STOCKHOLM AB,2019,199.06
CHEF STOCKHOLM AB (FB),2016,12900.0
CHEF STOCKHOLM AB (FB),2018,23685.0
CHEF STOCKHOLM AB (FB),2019,25324.0
CHEFS HUSET,2016,11400.0
CHEFS HUSET,2019,11400.0
CHEFSNÄTVERKET CLOSE AB,2016,25800.0
CHEFSNÄTVERKET CLOSE AB,2017,46400.0
CHEFSNÄTVERKET CLOSE AB,2018,77400.0
CHEFSNÄTVERKET CLOSE AB,2019,0.0
CHEFSPOOLEN I SVERIGE AB,2016,1741198.0
CHEFSPOOLEN I SVERIGE AB,2017,434216.5
CHEFSPOOLEN I SVERIGE AB,2018,1231767.5
CHEFSPOOLEN I SVERIGE AB,2019,723041.5
CHEMGROUP SCANDINAVIA AB,2016,7900.0
CHEMGROUP SCANDINAVIA AB,2018,5400.0
CHEMGROUP SCANDINAVIA AB,2019,46200.0
CHEMVIRON CARBON AB,2016,674765.0
CHEMVIRON CARBON AB,2017,4427719.9
CHEMVIRON CARBON AB,2018,8061.0
CHEMVIRON CARBON AB,2019,4702680.0
CHERRY ROAD MUSIC,2017,4928.0
CHG-MERIDAN SWEDEN AB,2016,3634.5200000000004
CHG-MERIDAN SWEDEN AB,2017,3465.4
CHG-MERIDAN SWEDEN AB,2018,165.0
