organisationsnummer,year,belopp,financial_turnover,proportion_of_turnover
5560899311,2019,4130418.469999997,90314000.0,0.04573397778860417
5565510392,2019,5613959.0,124332000.0,0.04515296946884149
5567994859,2019,177558.06,3933000.0,0.045145705568268496
5561443960,2019,1323633.0399999998,30411000.0,0.0435248114169215
5568810617,2019,2472904.0300000003,57665000.0,0.04288396826497876
5568119357,2019,3798114.520000001,90678000.0,0.0418857332539315
5560657800,2019,4608125.28,112805000.0,0.04085036372501219
5566867890,2019,10591571.14,277526000.0,0.03816424817854904
5562049501,2019,47981141.379999995,1351934000.0,0.035490742432692714
5565509600,2019,1843412.3599999999,52876000.0,0.03486293138664044
5563829802,2019,654349.7200000001,18789000.0,0.034826213209856835
5566116751,2019,17824236.569999993,532858000.0,0.03345025610950759
5564586740,2019,466231.02999999997,13995000.0,0.03331411432654519
5561485169,2019,137656679.0,4175748000.0,0.03296575344106014
5563303030,2019,2592500.0,79566000.0,0.0325830128446824
5562316389,2019,723210.0,22291000.0,0.03244403570947916
5565627600,2019,555876.99,18463000.0,0.030107620105075013
5560532888,2019,25069630.909999993,840122000.0,0.029840464730122522
5566049150,2019,727073.0,24719000.0,0.029413528055342045
5562664333,2019,680932.0,23413000.0,0.029083500619314057
5564351889,2019,802910.0,27797000.0,0.028884771737957334
5564677085,2019,509902.1099999999,18331000.0,0.02781638263051661
5562573575,2019,1666002.0,60105000.0,0.027718193161966557
5560956772,2019,36657045.779999964,1333909000.0,0.027480919448028288
5568402936,2019,77974.35,2899000.0,0.026896981717833737
5561143941,2019,38499807.129999995,1442012000.0,0.026698673194120434
5565291803,2019,2824980.0,106365000.0,0.026559300521788183
5563981405,2019,2446089.0399999996,92845000.0,0.02634594259249286
5563568202,2019,229811.25,8789000.0,0.026147599271817045
5563408078,2019,2859101.0800000024,111048000.0,0.025746533751170687
5562608553,2019,1165130.75,46949000.0,0.024816944982853736
5568164924,2019,956865.59,39306000.0,0.02434400829389915
5564754140,2019,582753.55,24317000.0,0.023964862030678127
5564509643,2019,124661.9,5300000.0,0.02352111320754717
5568475171,2019,6917.0,302000.0,0.022903973509933773
5566644257,2019,18334655.0,813696000.0,0.022532561300534843
5569249500,2019,111820.66999999997,5188000.0,0.021553714340786425
5561203398,2019,44658456.900000006,2167234000.0,0.020606199838134696
5561290999,2019,138868.66999999998,7035000.0,0.019739683013503907
5565148326,2019,240311.5,12589000.0,0.019089006275319724
5567023857,2019,607012.0199999999,31813000.0,0.019080628045138777
5563495893,2019,4890805.38,258552000.0,0.018916138262322472
5568071251,2019,486765.0,25916000.0,0.018782412409322425
5568748445,2019,265713.17,14212000.0,0.01869639529974669
5565780540,2019,4298409.0299999975,231985000.0,0.018528823113563367
5567870315,2019,50086.06,2749000.0,0.018219738086576936
5564778958,2019,5153258.0,287117000.0,0.017948285890420978
5566002126,2019,2783893.75,161204000.0,0.017269383824222724
5568958440,2019,141638.0,8363000.0,0.016936266889872056
5565492807,2019,789691.5,46664000.0,0.016922927738727927
5564480282,2019,265508263.04999962,15793741000.0,0.016810979935026137
5562859370,2019,3616143.9800000004,218835000.0,0.016524522951081866
5569858276,2019,160800.0,9921000.0,0.01620804354399758
5564009651,2019,1799055.38,111124000.0,0.016189620424030812
5560468562,2019,29321293.75,1830478000.0,0.016018380854618302
5568633134,2019,29900.0,1922000.0,0.015556711758584807
5565263521,2019,825371.12,53688000.0,0.01537347489196841
5566014683,2019,281651.25,18498000.0,0.015226037950048654
5560722224,2019,11422694.320000215,798457000.0,0.014305960521355833
5569948135,2019,88752.12,6361000.0,0.0139525420531363
5567206668,2019,323891.0,23582000.0,0.013734670511407006
5560555319,2019,792967.7999999999,59524000.0,0.013321816410187487
5565477204,2019,8837510.980000015,671342000.0,0.013163947704746635
5562071729,2019,832804.75,63266000.0,0.013163543609521702
5565360277,2019,2772940.0,211761000.0,0.013094668045579686
5561732396,2019,1304311.96,101015000.0,0.012912062168984804
5565092482,2019,25060144.72,1949696000.0,0.012853360072544642
5564651551,2019,4246322.25,335210000.0,0.01266764789236598
5564953114,2019,866785.96,68785000.0,0.012601380533546558
5560224171,2019,28138454.27000007,2263372000.0,0.01243209435744547
5564296407,2019,12344.75,1027000.0,0.012020204479065238
5565756722,2019,1510218.0,128102000.0,0.011789183619303367
5565973830,2019,428827.70999999996,37827000.0,0.011336550876358155
5565784252,2019,51747.25,4874000.0,0.010616998358637669
5560474255,2019,894700.0,87445000.0,0.010231574132311738
5565878708,2019,99214564.34000006,10040044000.0,0.00988188541205597
5563547370,2019,116688.0,11925000.0,0.009785157232704402
5568012438,2019,5459545.55,565418000.0,0.009655768917862536
5565863148,2019,3044456.099999993,318513000.0,0.009558341731734633
5561445221,2019,116867.83,12502000.0,0.009347930731083027
5565190252,2019,19296.0,2087000.0,0.009245807379012937
5567434708,2019,117479.78,12892000.0,0.009112610921501707
5566541537,2019,89209.0,9928000.0,0.008985596293311846
5566410048,2019,47500.0,5347000.0,0.008883486066953432
5563533867,2019,2583162.470000002,291512000.0,0.008861256037487315
5566108840,2019,1887264.8100000005,217379000.0,0.008681909522078953
5567589709,2019,124581.4,14821000.0,0.008405735105593415
5563341659,2019,13311834.0,1637101000.0,0.00813134559199463
5564502531,2019,2836982.069999994,351437000.0,0.008072519598107182
5561142000,2019,840948.8,105174000.0,0.007995786030768061
5562613512,2019,14392508.740000028,1851194000.0,0.007774716609928526
5560900838,2019,1953004.900000001,252189000.0,0.007744211285979964
5568156177,2019,21672.299999999996,2802000.0,0.007734582441113489
5564806163,2019,136501.75999999998,18537000.0,0.007363746021470571
5590530381,2019,5800.0,794000.0,0.007304785894206549
5567130264,2019,464371.0,63807000.0,0.007277743821210839
5564341153,2019,41856.3,5983000.0,0.006995871636302858
5566261854,2019,1340011.0,195187000.0,0.0068652676663917165
5567152516,2019,197101.0,29718000.0,0.006632377683558786
5565006821,2019,5438606.499999998,822259000.0,0.00661422556639696
5561850172,2019,4818476.5,743026000.0,0.006484936597104273
5562686476,2019,23010.5,3605000.0,0.006382940360610263
5568540255,2019,124182.09000000003,19745000.0,0.0062892929855659675
5567919161,2019,60435.22,9971000.0,0.006061099187644168
5590042791,2019,35880.0,5922000.0,0.006058763931104357
5567680185,2019,119624.0,20170000.0,0.005930788299454636
5560138256,2019,604734.67,102916000.0,0.005876002468032182
5567674857,2019,221452.25,38113000.0,0.005810412457691602
5563479343,2019,350603.25,60787000.0,0.005767734054978861
5566399720,2019,139514.87999999998,24216000.0,0.0057612685827552025
5562032879,2019,1843682.6600000001,320494000.0,0.005752627693498162
5560272238,2019,2468933.700000001,432895000.0,0.0057033084235207174
5565009072,2019,1065766.5,191074000.0,0.005577768299192983
5566951223,2019,13903.999999999998,2548000.0,0.005456828885400313
5565225355,2019,43185.94,8118000.0,0.005319775806848978
5562512425,2019,148224.0,28049000.0,0.005284466469392848
5568766215,2019,287008.25,54573000.0,0.005259162039836549
5560329285,2019,4889513.5200000005,934234000.0,0.005233713951750847
5564684123,2019,182778.39,35059000.0,0.005213451324909439
5566148861,2019,36433.5,7007000.0,0.005199586128157557
5561517888,2019,250820.19999999998,48423000.0,0.005179774074303533
5568278419,2019,978782.0400000017,190226000.0,0.005145364145805524
5560721127,2019,1330964.13,260805000.0,0.005103292229826882
5564359981,2019,7217159.229999988,1423113000.0,0.00507138873019921
5567018493,2019,191046.0,38962000.0,0.0049033930496381085
5564749512,2019,131218.5,26818000.0,0.0048929263927213066
5566693130,2019,1102673.62,226369000.0,0.004871133503262373
5561958645,2019,20013.5,4336000.0,0.004615659594095941
5565161501,2019,2091742.3099999998,457766000.0,0.00456945756128677
5560881327,2019,3168422.9900000035,695698000.0,0.004554308033083326
5568683428,2019,57883.04000000001,13024000.0,0.00444433660933661
5569910093,2019,19550.5,4470000.0,0.004373713646532438
5566605027,2019,28743.48,6590000.0,0.004361681335356601
5565923264,2019,134146.0,31753000.0,0.004224671684565238
5566551718,2019,54311.32,12857000.0,0.004224260714007933
5565724696,2019,8295180.640000017,1985153000.0,0.004178610233065168
5561749036,2019,517690.5,128967000.0,0.00401413152201726
5565994307,2019,3485608.75,868342000.0,0.004014096692317082
5567315121,2019,16747.96,4184000.0,0.004002858508604206
5564596939,2019,85416.90000000001,21813000.0,0.003915871269426489
5561520916,2019,1583468.0899999999,405931000.0,0.00390083065841239
5561147447,2019,27635.36999999999,7278000.0,0.0037971104699093144
5561675405,2019,213976.75,58616000.0,0.003650483656339566
5567638308,2019,352008.12,100238000.0,0.003511723298549452
5564176328,2019,111339.0,31758000.0,0.00350585679198942
5564203072,2019,3823640.7899999986,1118774000.0,0.003417706158705868
5563634913,2019,5900.0,1745000.0,0.0033810888252149
5565925053,2019,243040.0,73773000.0,0.003294430211595028
5567777890,2019,624076.34,190107000.0,0.0032827636015507057
5567273304,2019,91374.33,28215000.0,0.003238501860712387
5567382386,2019,25070.0,7752000.0,0.0032340041279669764
5564164266,2019,37847.35,11710000.0,0.003232053800170794
5568210446,2019,11283.08,3509000.0,0.003215468794528356
5569061376,2019,7107.18,2228000.0,0.0031899371633752247
5566679683,2019,58652.85999999999,18589000.0,0.0031552455753402547
5561931832,2019,1153776.29,367156000.0,0.003142468841582325
5566342134,2019,13490.56,4328000.0,0.0031170425138632163
5569481368,2019,134479.37,43861000.0,0.0030660352021157746
5566560776,2019,66579.56,21967000.0,0.003030889971320617
5569759797,2019,35866.0,11993000.0,0.002990577837071625
5565144408,2019,489617.75,164965000.0,0.002968009880883824
5564902020,2019,270951.65,91845000.0,0.0029500969023898965
5562333970,2019,4149465.9600000004,1463190000.0,0.0028359037172205935
5567267488,2019,404929.3899999999,143135000.0,0.0028290033185454284
5566147103,2019,25688.1,9223000.0,0.0027852217282879756
5565681185,2019,117383.54000000001,44484000.0,0.002638781134790037
5562291582,2019,1399973.0,531257000.0,0.0026352085713694127
